Name,Symbol,Price,1h price,24h price,7d price,30d price,Total volume 24h,Circulating supply,Total supply,Market cap
Bitcoin,BTC,"US$26.247,60",-0.3%,-0.6%,-3.8%,0.4%,US$9.402.386.268,"
19.496.600
","
21 Juta
",US$511.739.016.650
Ethereum,ETH,"US$1.589,90",-0.4%,-0.4%,-3.8%,-4.0%,US$4.449.816.130,"
120.232.366
","
120 Juta
",US$191.189.502.304
Tether,USDT,"US$1,00",0.0%,0.0%,-0.1%,0.1%,US$10.038.215.498,"
83.207.883.381
","
83,2 Miliar
",US$83.417.265.537
BNB,BNB,"US$212,46",-0.1%,0.9%,-2.4%,-3.0%,US$604.003.354,"
153.856.150
","
154 Juta
",US$32.688.697.461
XRP,XRP,"US$0,505596",0.2%,-0.1%,-1.8%,-3.9%,US$809.144.954,"
53.245.240.268
","
100 Miliar
",US$26.921.921.546
USDC,USDC,"US$1,00",-0.0%,-0.0%,0.0%,0.1%,US$3.641.022.682,"
25.601.660.275
","
25,6 Miliar
",US$25.672.463.338
Lido Staked Ether,STETH,"US$1.588,91",-0.3%,-0.5%,-3.8%,-4.1%,US$7.406.407,"
8.736.879
","
8,74 Juta
",US$13.886.209.793
Cardano,ADA,"US$0,245070",-0.5%,-0.4%,-4.4%,-6.9%,US$111.634.978,"
35.045.020.830
","
45 Miliar
",US$8.591.858.380
Dogecoin,DOGE,"US$0,060418",-0.5%,-1.4%,-4.1%,-4.1%,US$117.473.761,"
141.168.236.384
","
141 Miliar
",US$8.530.170.288
Solana,SOL,"US$19,24",-0.3%,-1.8%,-3.9%,-6.8%,US$176.555.071,"
412.877.173
","
558 Juta
",US$7.943.877.334
TRON,TRX,"US$0,084779",-0.2%,0.2%,-0.0%,9.2%,US$182.963.198,"
89.106.032.165
","
89,1 Miliar
",US$7.554.341.870
Toncoin,TON,"US$2,14",-2.0%,-2.0%,-16.3%,43.4%,US$27.275.123,"
3.449.263.682
","
5,09 Miliar
",US$7.398.783.071
Polkadot,DOT,"US$4,02",-0.3%,-1.7%,-3.1%,-10.3%,US$96.571.097,"
1.278.958.104
","
1,36 Miliar
",US$5.138.182.748
Polygon,MATIC,"US$0,517455",-0.3%,-0.2%,-4.6%,-6.7%,US$133.834.468,"
9.319.469.069
","
10 Miliar
",US$4.821.226.021
Litecoin,LTC,"US$64,03",-0.4%,-1.2%,-5.5%,-2.1%,US$222.408.503,"
73.696.789
","
84 Juta
",US$4.718.497.439
